type,time_ms,temperature_C,pressure_Pa,pressure_hPa,relative_height_m,estimated_floor,offset_from_estimated_floor_m,actual_floor,correct,calibrated_floor
calibration,43053,23.81,101392.03,1013.92,0.00,,,,,0
calibration,1057142,24.00,101394.27,1013.94,0.00,,,,,0
read,1085782,24.05,101901.79,1019.02,-42.14,0,-42.14,,,
read,1086787,24.03,101903.48,1019.03,-42.28,0,-42.28,,,
read,1087796,24.03,101903.98,1019.04,-42.32,0,-42.32,,,
read,1088798,24.04,101904.05,1019.04,-42.33,0,-42.33,,,
read,1089801,24.04,101903.88,1019.04,-42.31,0,-42.31,,,
read,1090808,24.05,101903.35,1019.03,-42.27,0,-42.27,,,
read,1091815,24.05,101903.30,1019.03,-42.26,0,-42.26,,,
read,1092823,24.06,101903.51,1019.04,-42.28,0,-42.28,,,
read,1093833,24.06,101903.33,1019.03,-42.27,0,-42.27,,,
read,1094844,24.06,101902.73,1019.03,-42.22,0,-42.22,,,
read,1095856,24.07,101902.92,1019.03,-42.23,0,-42.23,,,
read,1096924,24.07,101903.33,1019.03,-42.27,0,-42.27,,,
read,1097862,24.07,101903.34,1019.03,-42.27,0,-42.27,,,
read,1098881,24.08,101903.56,1019.04,-42.29,0,-42.29,,,
read,1099902,24.08,101903.21,1019.03,-42.26,0,-42.26,,,
read,1100903,24.08,101902.75,1019.03,-42.22,0,-42.22,,,
read,1101907,24.08,101902.71,1019.03,-42.22,0,-42.22,,,
read,1102911,24.08,101902.20,1019.02,-42.17,0,-42.17,,,
read,1103918,24.08,101902.16,1019.02,-42.17,0,-42.17,,,
read,1104925,24.08,101902.20,1019.02,-42.17,0,-42.17,,,
read,1105933,24.08,101902.38,1019.02,-42.19,0,-42.19,,,
read,1106944,24.08,101902.42,1019.02,-42.19,0,-42.19,,,
read,1107955,24.08,101902.02,1019.02,-42.16,0,-42.16,,,
read,1108968,24.07,101902.31,1019.02,-42.18,0,-42.18,,,
read,1109982,24.07,101902.56,1019.03,-42.20,0,-42.20,,,
read,1110998,24.07,101902.15,1019.02,-42.17,0,-42.17,,,
read,1112014,24.07,101901.92,1019.02,-42.15,0,-42.15,,,
read,1113031,24.08,101901.48,1019.01,-42.11,0,-42.11,,,
read,1114027,24.08,101901.17,1019.01,-42.09,0,-42.09,,,
read,1115031,24.08,101901.09,1019.01,-42.08,0,-42.08,,,
read,1116037,24.07,101900.58,1019.01,-42.04,0,-42.04,,,
read,1117045,24.07,101900.39,1019.00,-42.02,0,-42.02,,,
read,1118054,24.07,101901.05,1019.01,-42.08,0,-42.08,,,
read,1119064,24.07,101901.68,1019.02,-42.13,0,-42.13,,,
read,1120075,24.06,101902.03,1019.02,-42.16,0,-42.16,,,
read,1121087,24.06,101901.95,1019.02,-42.15,0,-42.15,,,
read,1122100,24.06,101902.30,1019.02,-42.18,0,-42.18,,,
read,1123115,24.06,101902.90,1019.03,-42.23,0,-42.23,,,
read,1124130,24.05,101902.77,1019.03,-42.22,0,-42.22,,,
read,1125146,24.05,101902.77,1019.03,-42.22,0,-42.22,,,
read,1126164,24.05,101902.95,1019.03,-42.23,0,-42.23,,,
read,1127183,24.05,101902.92,1019.03,-42.23,0,-42.23,,,
read,1128186,24.05,101902.50,1019.02,-42.20,0,-42.20,,,
read,1129189,24.05,101902.32,1019.02,-42.18,0,-42.18,,,
read,1130183,24.06,101902.45,1019.02,-42.19,0,-42.19,,,
read,1131192,24.06,101902.18,1019.02,-42.17,0,-42.17,,,
read,1132203,24.06,101902.20,1019.02,-42.17,0,-42.17,,,
read,1133214,24.06,101902.56,1019.03,-42.20,0,-42.20,,,
read,1183354,24.04,101902.77,1019.03,-42.22,0,-42.22,,,
read,1184367,24.02,101902.77,1019.03,-42.22,0,-42.22,,,
read,1185382,24.02,101902.70,1019.03,-42.21,0,-42.21,,,
read,1186397,24.03,101902.87,1019.03,-42.23,0,-42.23,,,
read,1187414,24.04,101903.02,1019.03,-42.24,0,-42.24,,,
read,1188433,24.04,101903.33,1019.03,-42.27,0,-42.27,,,
read,1189434,24.04,101903.63,1019.04,-42.29,0,-42.29,,,
read,1190437,24.04,101903.79,1019.04,-42.31,0,-42.31,,,
read,1191441,24.04,101904.16,1019.04,-42.34,0,-42.34,,,
read,1192447,24.04,101904.23,1019.04,-42.34,0,-42.34,,,
read,1193453,24.04,101904.14,1019.04,-42.33,0,-42.33,,,
read,1194459,24.04,101904.73,1019.05,-42.38,0,-42.38,,,
read,1195455,24.04,101905.07,1019.05,-42.41,0,-42.41,,,
read,1196463,24.04,101905.30,1019.05,-42.43,0,-42.43,,,
read,1197477,24.04,101905.05,1019.05,-42.41,0,-42.41,,,
read,1198493,24.04,101904.43,1019.04,-42.36,0,-42.36,,,
read,1199511,24.04,101904.09,1019.04,-42.33,0,-42.33,,,
read,1200531,24.05,101903.38,1019.03,-42.27,0,-42.27,,,
read,1201532,24.05,101902.63,1019.03,-42.21,0,-42.21,,,
read,1202534,24.05,101902.08,1019.02,-42.16,0,-42.16,,,
read,1203538,24.05,101901.37,1019.01,-42.10,0,-42.10,,,
read,1204541,24.05,101901.00,1019.01,-42.07,0,-42.07,,,
read,1205545,24.05,101900.59,1019.01,-42.04,0,-42.04,,,
read,1206550,24.05,101900.70,1019.01,-42.05,0,-42.05,,,
read,1207558,24.06,101900.55,1019.01,-42.04,0,-42.04,,,
read,1208567,24.06,101900.33,1019.00,-42.02,0,-42.02,,,
read,1209578,24.05,101900.61,1019.01,-42.04,0,-42.04,,,
read,1210775,24.05,101901.01,1019.01,-42.07,0,-42.07,,,
read,1211779,24.05,101900.67,1019.01,-42.05,0,-42.05,,,
read,1212796,24.06,101900.58,1019.01,-42.04,0,-42.04,,,
read,1213815,24.06,101900.98,1019.01,-42.07,0,-42.07,,,
read,1214834,24.06,101901.48,1019.01,-42.11,0,-42.11,,,
read,1215836,24.06,101902.06,1019.02,-42.16,0,-42.16,,,
read,1216837,24.06,101902.43,1019.02,-42.19,0,-42.19,,,
read,1217840,24.06,101902.09,1019.02,-42.16,0,-42.16,,,
read,1218845,24.06,101902.00,1019.02,-42.16,0,-42.16,,,
read,1219851,24.06,101902.28,1019.02,-42.18,0,-42.18,,,
read,1220859,24.06,101902.19,1019.02,-42.17,0,-42.17,,,
read,1221868,24.06,101902.24,1019.02,-42.18,0,-42.18,,,
read,1222879,24.06,101901.91,1019.02,-42.15,0,-42.15,,,
read,1223891,24.06,101901.65,1019.02,-42.13,0,-42.13,,,
read,1224905,24.05,101901.99,1019.02,-42.16,0,-42.16,,,
read,1225919,24.05,101902.60,1019.03,-42.21,0,-42.21,,,
read,1226934,24.05,101902.73,1019.03,-42.22,0,-42.22,,,
read,1227924,24.05,101902.16,1019.02,-42.17,0,-42.17,,,
read,1228925,24.04,101902.38,1019.02,-42.19,0,-42.19,,,
read,1229928,24.04,101902.43,1019.02,-42.19,0,-42.19,,,
read,1230934,24.04,101902.65,1019.03,-42.21,0,-42.21,,,
read,1231940,24.04,101903.26,1019.03,-42.26,0,-42.26,,,
read,1232948,24.03,101903.05,1019.03,-42.24,0,-42.24,,,
read,1233957,24.03,101903.46,1019.03,-42.28,0,-42.28,,,
read,1234967,24.03,101903.73,1019.04,-42.30,0,-42.30,,,
read,1235978,24.03,101903.91,1019.04,-42.32,0,-42.32,,,
read,1236991,24.03,101903.77,1019.04,-42.30,0,-42.30,,,
read,1238004,24.02,101903.48,1019.03,-42.28,0,-42.28,,,
read,1239018,24.03,101902.98,1019.03,-42.24,0,-42.24,,,
calibration,235492,24.97,101482.50,1014.83,0.00,,,,,0
calibration,249423,25.08,101989.73,1019.90,0.00,,,,,0
calibration,290750,25.10,101960.95,1019.61,2.38,,,,,1
calibration,313877,25.13,101919.41,1019.19,5.82,,,,,2
calibration,337651,25.15,101873.21,1018.73,9.64,,,,,3
calibration,361787,25.17,101827.92,1018.28,13.39,,,,,4
read,374344,25.16,101816.79,1018.17,14.31,4,0.92,,,
read,375353,25.14,101816.08,1018.16,14.37,4,0.98,,,
read,376363,25.14,101815.93,1018.16,14.39,4,0.99,,,
read,377374,25.14,101816.50,1018.16,14.34,4,0.95,,,
read,378387,25.15,101816.71,1018.17,14.32,4,0.93,,,
read,379400,25.15,101816.43,1018.16,14.34,4,0.95,,,
read,380414,25.15,101816.25,1018.16,14.36,4,0.97,,,
read,381431,25.15,101816.61,1018.17,14.33,4,0.94,,,
read,382450,25.15,101816.52,1018.17,14.34,4,0.94,,,
read,383451,25.16,101816.64,1018.17,14.33,4,0.93,,,
read,384452,25.16,101816.59,1018.17,14.33,4,0.94,,,
read,385456,25.16,101816.67,1018.17,14.32,4,0.93,,,
read,386459,25.16,101816.41,1018.16,14.35,4,0.95,,,
read,387463,25.16,101816.43,1018.16,14.34,4,0.95,,,
read,388451,25.16,101816.59,1018.17,14.33,4,0.94,,,
read,389461,25.17,101816.75,1018.17,14.32,4,0.93,,,
read,390473,25.17,101816.76,1018.17,14.32,4,0.92,,,
read,391487,25.17,101816.58,1018.17,14.33,4,0.94,,,
read,392503,25.17,101816.66,1018.17,14.32,4,0.93,,,
read,393520,25.17,101816.92,1018.17,14.30,4,0.91,,,
read,394538,25.17,101816.95,1018.17,14.30,4,0.91,,,
read,395558,25.18,101817.31,1018.17,14.27,4,0.88,,,
read,396560,25.18,101817.58,1018.18,14.25,4,0.86,,,
test,397354,25.19,101817.42,1018.17,14.26,4,0.87,4,1,
read,397897,25.22,101815.89,1018.16,14.39,4,1.00,,,
read,398901,25.21,101816.56,1018.17,14.33,4,0.94,,,
read,399906,25.19,101816.92,1018.17,14.30,4,0.91,,,
read,400912,25.19,101817.34,1018.17,14.27,4,0.88,,,
test,401711,25.20,101817.50,1018.17,14.26,4,0.86,4,1,
read,402259,25.23,101816.23,1018.16,14.36,4,0.97,,,
read,403250,25.22,101816.90,1018.17,14.31,4,0.91,,,
read,404265,25.20,101816.51,1018.17,14.34,4,0.95,,,
read,405283,25.20,101817.10,1018.17,14.29,4,0.90,,,
read,406300,25.20,101817.92,1018.18,14.22,4,0.83,,,
read,407318,25.20,101817.89,1018.18,14.22,4,0.83,,,
read,408336,25.20,101818.02,1018.18,14.21,4,0.82,,,
read,409356,25.21,101817.67,1018.18,14.24,4,0.85,,,
read,410357,25.21,101817.68,1018.18,14.24,4,0.85,,,
read,411359,25.21,101817.34,1018.17,14.27,4,0.88,,,
read,412363,25.21,101816.66,1018.17,14.32,4,0.93,,,
read,413367,25.21,101815.10,1018.15,14.45,4,1.06,,,
read,414376,25.21,101813.70,1018.14,14.57,4,1.18,,,
read,415385,25.21,101813.44,1018.13,14.59,4,1.20,,,
read,416396,25.21,101816.14,1018.16,14.37,4,0.98,,,
read,417407,25.22,101823.73,1018.24,13.74,4,0.35,,,
read,418419,25.22,101834.79,1018.35,12.82,4,-0.57,,,
read,419422,25.22,101847.76,1018.48,11.75,4,-1.64,,,
read,420440,25.22,101857.21,1018.57,10.97,3,1.32,,,
read,421459,25.22,101859.80,1018.60,10.75,3,1.11,,,
read,422480,25.22,101859.64,1018.60,10.77,3,1.12,,,
read,423481,25.22,101857.86,1018.58,10.91,3,1.27,,,
test,424336,25.23,101857.18,1018.57,10.97,3,1.33,3,1,
read,424862,25.27,101855.79,1018.56,11.08,3,1.44,,,
read,425869,25.25,101858.36,1018.58,10.87,3,1.23,,,
read,426877,25.24,101860.17,1018.60,10.72,3,1.08,,,
read,427886,25.24,101860.66,1018.61,10.68,3,1.04,,,
test,428447,25.27,101859.05,1018.59,10.82,3,1.17,3,1,
read,428979,25.30,101857.17,1018.57,10.97,3,1.33,,,
read,429992,25.27,101858.75,1018.59,10.84,3,1.20,,,
read,431006,25.25,101860.68,1018.61,10.68,3,1.04,,,
test,431892,25.25,101861.53,1018.62,10.61,3,0.97,3,1,
read,432428,25.28,101859.70,1018.60,10.76,3,1.12,,,
read,433417,25.27,101858.91,1018.59,10.83,3,1.18,,,
read,434421,25.26,101858.80,1018.59,10.84,3,1.19,,,
read,435427,25.25,101859.44,1018.59,10.78,3,1.14,,,
read,436433,25.25,101861.00,1018.61,10.65,3,1.01,,,
read,437440,25.25,101862.09,1018.62,10.56,3,0.92,,,
read,438448,25.25,101862.06,1018.62,10.57,3,0.92,,,
read,439458,25.25,101861.70,1018.62,10.60,3,0.95,,,
read,440468,25.26,101860.91,1018.61,10.66,3,1.02,,,
read,441480,25.26,101861.08,1018.61,10.65,3,1.00,,,
read,442493,25.26,101863.77,1018.64,10.42,3,0.78,,,
read,443507,25.26,101869.88,1018.70,9.92,3,0.28,,,
read,444523,25.26,101879.95,1018.80,9.08,3,-0.56,,,
read,445540,25.26,101891.64,1018.92,8.12,3,-1.53,,,
read,446559,25.26,101903.98,1019.04,7.10,2,1.28,,,
read,447578,25.27,101916.02,1019.16,6.10,2,0.28,,,
read,448579,25.27,101928.27,1019.28,5.09,2,-0.73,,,
read,449570,25.27,101940.58,1019.41,4.07,1,1.69,,,
read,450577,25.27,101952.11,1019.52,3.11,1,0.73,,,
read,451579,25.27,101963.40,1019.63,2.18,1,-0.20,,,
